"Situação dos Órgãos e Entidades do Ente Federativo"
"Data da Pesquisa: 02/09/2026"
"Ente Federativo: 06.354.468/0001-60 - Maranhão"
"Observação: As datas mencionadas nas colunas dos itens referem-se à validade da comprovação do item, conforme exigido para fins de verificação documental."
""
"CNPJ";"Nome";"Tipo de Administração";"Regularidade Fiscal";"1.1";"1.2";"1.3";"1.4";"1.5";"2.1.1";"2.1.2";"3.1.1";"3.1.2";"3.2.1";"3.2.2";"3.2.3";"3.2.4";"3.3";"3.4.1";"3.4.2";"3.5";"3.6";"3.7";"4.1";"4.2";"4.3";"5.1";"5.2";"5.3";"5.4";"5.5";"5.6";"5.7";"5.8"
"26.852.091/0001-87";"SUPERINTENDENCIA DE POLICIA TECNICO-CIENTIFICA - MA";"Direta";"Comprovados";"07/02/2027";"02/09/2026";"Desativado";"02/09/2026";"02/09/2026";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"07.492.168/0001-00";"SUPERINTENDENCIA DO DESENVOLVIMENTO DO INTERIOR DO MA";"Direta";"Comprovados";"07/02/2027";"02/09/2026";"Desativado";"02/09/2026";"02/09/2026";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"23.764.655/0001-31";"SUPERINTENDENCIA ESTADUAL DE INVESTIGACAO DE HOMICIDIOS E PROTECAO A PESSOA";"Direta";"Comprovados";"07/02/2027";"02/09/2026";"Desativado";"02/09/2026";"02/09/2026";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"23.747.622/0001-83";"SUPERINTENDENCIA ESTADUAL DE PREVENCAO E COMBATE A CORRUPCAO-MA";"Direta";"Comprovados";"07/02/2027";"02/09/2026";"Desativado";"02/09/2026";"02/09/2026";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"26.481.786/0001-08";"SUPERINTENDENCIA ESTADUAL DE REPRESSAO AO NARCOTRAFICO - SENARC - MA";"Direta";"Comprovados";"07/02/2027";"02/09/2026";"Desativado";"02/09/2026";"02/09/2026";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"23.830.107/0001-62";"TERCEIRA DELEGACIA REGIONAL DE CHAPADINHA - MA";"Direta";"Comprovados";"07/02/2027";"02/09/2026";"Desativado";"02/09/2026";"02/09/2026";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"22.503.819/0001-04";"UNIDADE ESCOLAR JOAO SOBREIRA DE LIMA";"Direta";"Comprovados";"07/02/2027";"02/09/2026";"Desativado";"02/09/2026";"02/09/2026";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"06.084.789/0001-92";"VIGESIMO SEXTO BATALHAO DE POLICIA MILITAR";"Direta";"Comprovados";"07/02/2027";"02/09/2026";"Desativado";"02/09/2026";"02/09/2026";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"57.813.837/0001-77";"AGENCIA DE DESENVOLVIMENTO DO ESTADO DO MARANHAO S/A - INVESTE MARANHAO";"Indireta";"A Comprovar";"A Comprovar";"02/09/2026";"Desativado";"02/09/2026";"A Comprovar";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"05.057.657/0001-09";"AGENCIA ESTADUAL DE DEFESA AGROPECUARIA DO MARANHAO";"Indireta";"A Comprovar";"A Comprovar";"02/09/2026";"Desativado";"02/09/2026";"02/09/2026";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"08.578.592/0001-35";"AGENCIA ESTADUAL DE MOBILIDADE URBANA E SERVICOS PUBLICOS - MOB";"Indireta";"A Comprovar";"A Comprovar";"02/09/2026";"Desativado";"02/09/2026";"02/09/2026";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"08.593.102/0001-70";"AGENCIA ESTADUAL DE PESQUISA AGROPECUARIA E EXTENSAO RURAL DO MARANHAO - AGERP / MA";"Indireta";"A Comprovar";"A Comprovar";"02/09/2026";"Desativado";"02/09/2026";"A Comprovar";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"54.357.698/0001-26";"AGENCIA ESTADUAL DE TECNOLOGIA DA INFORMACAO - ATI/MA";"Indireta";"A Comprovar";"A Comprovar";"02/09/2026";"Desativado";"02/09/2026";"02/09/2026";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"27.361.985/0001-37";"AGENCIA EXECUTIVA METROPOLITANA";"Indireta";"Comprovados";"04/01/2027";"02/09/2026";"Desativado";"02/09/2026";"02/09/2026";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"60.794.030/0001-49";"AGENCIA EXECUTIVA METROPOLITANA DO LESTE MARANHENSE - AGEMLESTE";"Indireta";"A Comprovar";"A Comprovar";"02/09/2026";"Desativado";"02/09/2026";"A Comprovar";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"29.180.696/0001-67";"AGENCIA EXECUTIVA METROPOLITANA DO SUDOESTE MARANHENSE - AGEMSUL";"Indireta";"A Comprovar";"A Comprovar";"02/09/2026";"Desativado";"02/09/2026";"02/09/2026";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"05.694.533/0001-34";"AGENCIA REGULADORA DE SERVICOS PUBLICOS DO MARANHAO";"Indireta";"A Comprovar";"A Comprovar";"02/09/2026";"Desativado";"02/09/2026";"02/09/2026";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"57.940.134/0001-00";"COMPANHIA ADMINISTRADORA DA ZONA DE PROCESSAMENTO DE EXPORTACAO DE BACABEIRA S. A. - ZPE MARANHAO";"Indireta";"A Comprovar";"A Comprovar";"02/09/2026";"Desativado";"02/09/2026";"02/09/2026";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"06.274.757/0001-50";"COMPANHIA DE SANEAMENTO AMBIENTAL DO MARANHAO-CAEMA";"Indireta";"A Comprovar";"A Comprovar";"02/09/2026";"Desativado";"02/09/2026";"A Comprovar";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"06.293.120/0001-00";"DEPARTAMENTO ESTADUAL DE TRANSITO";"Indireta";"A Comprovar";"A Comprovar";"02/09/2026";"Desativado";"02/09/2026";"A Comprovar";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"03.650.060/0001-48";"EMPRESA MARANHENSE DE ADMINISTRACAO PORTUARIA - EMAP";"Indireta";"Comprovados";"22/02/2027";"02/09/2026";"Desativado";"02/09/2026";"02/09/2026";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"18.519.709/0001-63";"EMPRESA MARANHENSE DE SERVICOS HOSPITALARES - EMSERH";"Indireta";"A Comprovar";"A Comprovar";"02/09/2026";"Desativado";"02/09/2026";"A Comprovar";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"69.382.307/0001-09";"FUND CULT ASSIST E ECOLOGICA O HOMEM E A NATUREZA";"Indireta";"A Comprovar";"A Comprovar";"02/09/2026";"Desativado";"02/09/2026";"02/09/2026";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"03.499.127/0001-95";"FUNDACAO CULTURAL E ASSISTENCIAL AGORA E SUA VEZ";"Indireta";"Comprovados";"24/10/2026";"02/09/2026";"Desativado";"02/09/2026";"02/09/2026";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"16.863.657/0001-12";"FUNDACAO DA MEMORIA REPUBLICANA BRASILEIRA";"Indireta";"Comprovados";"28/11/2026";"02/09/2026";"Desativado";"02/09/2026";"02/09/2026";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"05.527.341/0001-33";"FUNDACAO DE AMPARO A PESQUISA AO DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO DO MARANHAO - FAPEMA";"Indireta";"Comprovados";"10/10/2026";"02/09/2026";"Desativado";"02/09/2026";"02/09/2026";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"05.632.559/0001-58";"FUNDACAO DE ATENDIMENTO SOCIEDUCATIVO DO MARANHAO - FASE/MA";"Indireta";"A Comprovar";"A Comprovar";"02/09/2026";"Desativado";"02/09/2026";"A Comprovar";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"59.825.955/0001-20";"FUNDACAO ESCOLA DE GOVERNO DO MARANHAO - FUNDACAO EGMA";"Indireta";"Comprovados";"31/01/2027";"02/09/2026";"Desativado";"02/09/2026";"02/09/2026";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"97.357.420/0001-61";"FUNDACAO NICE LOBAO";"Indireta";"A Comprovar";"A Comprovar";"02/09/2026";"Desativado";"02/09/2026";"A Comprovar";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"07.450.928/0001-17";"FUNDO ESTADUAL DE PROTECAO E DEFESA DOS DIREITOS DO CONSUMIDOR - PROCON";"Indireta";"A Comprovar";"A Comprovar";"02/09/2026";"Desativado";"02/09/2026";"02/09/2026";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"24.811.772/0001-71";"FUNDO ESTADUAL DE TRANSPORTE E MOBILIDADE URBANA - FTMU";"Indireta";"Comprovados";"14/09/2026";"02/09/2026";"Desativado";"02/09/2026";"02/09/2026";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"12.136.248/0001-63";"INSTITUTO DE COLONIZACAO E TERRAS DO MARANHAO-ITERMA";"Indireta";"Comprovados";"20/02/2027";"02/09/2026";"Desativado";"02/09/2026";"02/09/2026";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"01.596.450/0001-51";"INSTITUTO DE METROLOGIA E QUALIDADE INDUSTRIAL DO MARANHAO - INMEQ/MA";"Indireta";"A Comprovar";"06/10/2026";"02/09/2026";"Desativado";"02/09/2026";"A Comprovar";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"29.127.690/0001-26";"INSTITUTO DE PREVIDENCIA DOS SERVIDORES DO ESTADO DO MARANHAO - IPREV";"Indireta";"Comprovados";"06/02/2027";"02/09/2026";"Desativado";"02/09/2026";"02/09/2026";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"23.284.838/0001-50";"INSTITUTO DE PROMOCAO E DEFESA DO CIDADAO E CONSUMIDOR DO ESTADO DO MARANHAO - PROCON/MA";"Indireta";"A Comprovar";"02/11/2026";"02/09/2026";"Desativado";"02/09/2026";"A Comprovar";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"05.849.024/0001-33";"INSTITUTO ESTADUAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO MARANHAO-IEMA";"Indireta";"Comprovados";"02/02/2027";"02/09/2026";"Desativado";"02/09/2026";"02/09/2026";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"08.597.004/0001-00";"INSTITUTO MARANHENSE DE ESTUDOS SOCIOECONOMICO E CARTOGRAFICO - IMESC";"Indireta";"A Comprovar";"A Comprovar";"02/09/2026";"Desativado";"02/09/2026";"A Comprovar";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"05.289.160/0001-16";"JUNTA COMERCIAL DO ESTADO DO MARANHAO";"Indireta";"A Comprovar";"A Comprovar";"02/09/2026";"Desativado";"02/09/2026";"A Comprovar";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"06.281.794/0001-95";"MARANHAO PARCERIAS S.A";"Indireta";"A Comprovar";"10/10/2026";"02/09/2026";"Desativado";"02/09/2026";"A Comprovar";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"06.048.904/0001-73";"MUNICIPIO DE SAO LUIS - ESCRITORIO TECNICO DE ADMINISTRACAO MUNICIPAL";"Indireta";"A Comprovar";"A Comprovar";"02/09/2026";"Desativado";"02/09/2026";"A Comprovar";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"26.677.304/0001-81";"UNIVERSIDADE ESTADUAL DA REGIAO TOCANTINA DO MARANHAO";"Indireta";"A Comprovar";"16/09/2026";"02/09/2026";"Desativado";"02/09/2026";"A Comprovar";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"06.352.421/0001-68";"UNIVERSIDADE ESTADUAL DO MARANHAO";"Indireta";"Comprovados";"13/02/2027";"02/09/2026";"Desativado";"02/09/2026";"02/09/2026";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"15.201.913/0001-43";"ASSOCIACAO DOS CONSUMIDORES DE ENERGIA, AGUA,ESGOTO,TELEFONIA, PROPRIETARIOS DE VEICULOS AUTOMOTORES, USUARIOS DE SERVICOS PUBLICOS E PARTICULAR";"Indireta";"A Comprovar";"A Comprovar";"A Comprovar";"Desativado";"A Comprovar";"A Comprovar";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"33.733.453/0001-86";"CONSORCIO INTERESTADUAL DE DESENVOLVIMENTO SUSTENTAVEL DA AMAZONIA LEGAL";"Indireta";"A Comprovar";"23/02/2027";"A Comprovar";"Desativado";"A Comprovar";"02/09/2026";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
﻿""
"Código do Itens";"Requisitos Fiscais"
"1.1";"Regularidade quanto a Tributos, a Contribuições Previdenciárias Federais e à Dívida Ativa da União"
"1.2";"Regularidade no pagamento de precatórios judiciais"
"1.3";"Regularidade quanto a Contribuições para o FGTS"
"1.4";"Regularidade em relação à Adimplência Financeira em Empréstimos e Financiamentos concedidos pela União"
"1.5";"Regularidade perante o Poder Público Federal"
"2.1.1";"SIAFI/Subsistema Transferências"
"2.1.2";"Transferegov.br"
"3.1.1";"Publicação do Relatório de Gestão Fiscal"
"3.1.2";"Encaminhamento do Relatório de Gestão Fiscal ao Siconfi"
"3.2.1";"Publicação do Relatório Resumido de Execução Orçamentária - RREO"
"3.2.2";"Encaminhamento do Relatório Resumido de Execução Orçamentária ao Siconfi"
"3.2.3";"Encaminhamento do Anexo 8 do Relatório Resumido de Execução Orçamentária ao Siope"
"3.2.4";"Encaminhamento do Anexo 12 do Relatório Resumido de Execução Orçamentária ao Siops"
"3.3";"Encaminhamento das Contas Anuais"
"3.4.1";"Encaminhamento da Matriz de Saldos Contábeis Mensal"
"3.4.2";"Encaminhamento da Matriz de Saldos Contábeis de Encerramento"
"3.5";"Encaminhamento de Informações para o Cadastro da Dívida Pública - CDP"
"3.6";"Transparência da execução orçamentária e financeira em meio eletrônico de acesso público"
"3.7";"Adoção de Sistema Integrado de Administração Financeira e Controle - Siafic"
"4.1";"Exercício da Plena Competência Tributária"
"4.2";"Regularidade Previdenciária"
"4.3";"Regularidade quanto à Concessão de Incentivos Fiscais"
"5.1";"Aplicação Mínima de recursos em Educação"
"5.2";"Aplicação Mínima de recursos em Saúde"
"5.3";"Limite de Despesas com Parcerias Público-Privadas - PPP"
"5.4";"Limite de operações de crédito, inclusive por antecipação de receita"
"5.5";"Regularidade na aplicação mínima do Fundeb para pagamento de profissionais da educação básica"
"5.6";"Regularidade na aplicação mínima da complementação da União ao Fundeb em despesas de capital"
"5.7";"Regularidade na aplicação de 50% da complementação VAAT do Fundeb na educação infantil"
"5.8";"Regularidade na destinação mínima de recursos para a constituição do Fundeb"
