"Situação dos Órgãos e Entidades do Ente Federativo"
"Data da Pesquisa: 02/09/2026"
"Ente Federativo: 06.354.468/0001-60 - Maranhão"
"Observação: As datas mencionadas nas colunas dos itens referem-se à validade da comprovação do item, conforme exigido para fins de verificação documental."
""
"CNPJ";"Nome";"Tipo de Administração";"Regularidade Fiscal";"1.1";"1.2";"1.3";"1.4";"1.5";"2.1.1";"2.1.2";"3.1.1";"3.1.2";"3.2.1";"3.2.2";"3.2.3";"3.2.4";"3.3";"3.4.1";"3.4.2";"3.5";"3.6";"3.7";"4.1";"4.2";"4.3";"5.1";"5.2";"5.3";"5.4";"5.5";"5.6";"5.7";"5.8"
"24.979.119/0001-16";"COMPANHIA DE POLICIA DE TURISMO INDEPENDENTE";"Direta";"Comprovados";"07/02/2027";"02/09/2026";"Desativado";"02/09/2026";"02/09/2026";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"24.256.995/0001-14";"COMPANHIA INDEPENDENTE DE POLICIA MILITAR RODOVIARIO DO ESTADO DO MARANHAO.";"Direta";"Comprovados";"07/02/2027";"02/09/2026";"Desativado";"02/09/2026";"02/09/2026";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"23.711.962/0001-54";"COORDENADORIA ESTADUAL DE PROTECAO E DEFESA CIVIL";"Direta";"Comprovados";"07/02/2027";"02/09/2026";"Desativado";"02/09/2026";"02/09/2026";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"23.788.742/0001-29";"DECIMA DELEGACIA REGIONAL DE IMPERATRIZ - MA";"Direta";"Comprovados";"07/02/2027";"02/09/2026";"Desativado";"02/09/2026";"02/09/2026";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"24.395.967/0001-88";"DECIMA OITAVA DELEGACIA REGIONAL DE TIMON - MA";"Direta";"Comprovados";"07/02/2027";"02/09/2026";"Desativado";"02/09/2026";"02/09/2026";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"23.956.420/0001-41";"DECIMA PRIMEIRA DELEGACIA REGIONAL DE BALSAS-MA";"Direta";"Comprovados";"07/02/2027";"02/09/2026";"Desativado";"02/09/2026";"02/09/2026";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"23.798.323/0001-78";"DECIMA QUARTA DELEGACIA REGIONAL DE PEDREIRAS - MA";"Direta";"Comprovados";"07/02/2027";"02/09/2026";"Desativado";"02/09/2026";"02/09/2026";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"24.052.948/0001-59";"DECIMA QUINTA DELEGACIA REGIONAL DE BARRA DO CORDA - MA";"Direta";"Comprovados";"07/02/2027";"02/09/2026";"Desativado";"02/09/2026";"02/09/2026";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"23.991.968/0001-22";"DECIMA SEGUNDA DELEGACIA REGIONAL DE SAO JOAO DOS PATOS - MA";"Direta";"Comprovados";"07/02/2027";"02/09/2026";"Desativado";"02/09/2026";"02/09/2026";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"23.839.225/0001-31";"DECIMA SETIMA DELEGACIA REGIONAL DE CAXIAS - MA";"Direta";"Comprovados";"07/02/2027";"02/09/2026";"Desativado";"02/09/2026";"02/09/2026";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
